Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (Â°C),Quality
IDCJAC0004,033106,2002,03,24.5,Y
IDCJAC0004,033106,2002,04,22.6,Y
IDCJAC0004,033106,2002,05,20.8,Y
IDCJAC0004,033106,2002,06,18.4,Y
IDCJAC0004,033106,2002,07,17.8,Y
IDCJAC0004,033106,2002,08,18.3,Y
IDCJAC0004,033106,2002,09,19.8,Y
IDCJAC0004,033106,2002,10,22.2,Y
IDCJAC0004,033106,2002,11,22.9,Y
IDCJAC0004,033106,2002,12,24.6,Y
IDCJAC0004,033106,2003,01,24.5,Y
IDCJAC0004,033106,2003,02,24.4,Y
IDCJAC0004,033106,2003,03,24.3,Y
IDCJAC0004,033106,2003,04,22.6,Y
IDCJAC0004,033106,2003,05,20.5,Y
IDCJAC0004,033106,2003,06,19.5,Y
IDCJAC0004,033106,2003,07,18.2,Y
IDCJAC0004,033106,2003,08,18.7,Y
IDCJAC0004,033106,2003,09,20.3,Y
IDCJAC0004,033106,2003,10,22.7,Y
IDCJAC0004,033106,2003,11,23.3,Y
IDCJAC0004,033106,2003,12,24.5,Y
IDCJAC0004,033106,2004,01,25.1,Y
IDCJAC0004,033106,2004,02,25.3,Y
IDCJAC0004,033106,2004,03,24.2,Y
IDCJAC0004,033106,2004,04,22.6,Y
IDCJAC0004,033106,2004,05,21.0,Y
IDCJAC0004,033106,2004,06,18.8,Y
IDCJAC0004,033106,2004,07,17.8,Y
IDCJAC0004,033106,2004,08,18.1,Y
IDCJAC0004,033106,2004,09,19.7,Y
IDCJAC0004,033106,2004,10,21.9,Y
IDCJAC0004,033106,2004,11,23.2,Y
IDCJAC0004,033106,2004,12,24.5,Y
IDCJAC0004,033106,2005,01,24.5,Y
IDCJAC0004,033106,2005,02,25.6,Y
IDCJAC0004,033106,2005,03,24.7,Y
IDCJAC0004,033106,2005,04,22.2,Y
IDCJAC0004,033106,2005,05,20.2,Y
IDCJAC0004,033106,2005,06,19.4,Y
IDCJAC0004,033106,2005,07,18.3,Y
IDCJAC0004,033106,2005,08,17.9,Y
IDCJAC0004,033106,2005,09,19.8,Y
IDCJAC0004,033106,2005,10,22.5,Y
IDCJAC0004,033106,2005,11,23.7,Y
IDCJAC0004,033106,2005,12,25.8,Y
IDCJAC0004,033106,2006,01,25.0,Y
IDCJAC0004,033106,2006,02,25.4,Y
IDCJAC0004,033106,2006,03,24.2,Y
IDCJAC0004,033106,2006,04,23.4,Y
IDCJAC0004,033106,2006,05,20.5,Y
IDCJAC0004,033106,2006,06,18.0,Y
IDCJAC0004,033106,2006,07,17.9,Y
IDCJAC0004,033106,2006,08,18.0,Y
IDCJAC0004,033106,2006,09,19.1,Y
IDCJAC0004,033106,2006,10,20.6,Y
IDCJAC0004,033106,2006,11,22.4,Y
IDCJAC0004,033106,2006,12,23.4,Y
IDCJAC0004,033106,2007,01,24.3,Y
IDCJAC0004,033106,2007,02,23.6,Y
IDCJAC0004,033106,2007,03,24.8,Y
IDCJAC0004,033106,2007,04,23.2,Y
IDCJAC0004,033106,2007,05,21.6,Y
IDCJAC0004,033106,2007,06,19.4,Y
IDCJAC0004,033106,2007,07,16.2,Y
IDCJAC0004,033106,2007,08,18.4,Y
IDCJAC0004,033106,2007,09,19.4,Y
IDCJAC0004,033106,2007,10,22.3,Y
IDCJAC0004,033106,2007,11,22.8,Y
IDCJAC0004,033106,2007,12,24.3,Y
IDCJAC0004,033106,2008,01,24.6,Y
IDCJAC0004,033106,2008,02,24.2,Y
IDCJAC0004,033106,2008,03,22.8,Y
IDCJAC0004,033106,2008,04,21.5,Y
IDCJAC0004,033106,2008,05,20.0,Y
IDCJAC0004,033106,2008,06,19.1,Y
IDCJAC0004,033106,2008,07,17.3,Y
IDCJAC0004,033106,2008,08,17.1,Y
IDCJAC0004,033106,2008,09,20.0,Y
IDCJAC0004,033106,2008,10,22.0,Y
IDCJAC0004,033106,2008,11,24.1,Y
IDCJAC0004,033106,2008,12,25.6,Y
IDCJAC0004,033106,2009,01,24.5,Y
IDCJAC0004,033106,2009,02,24.4,Y
IDCJAC0004,033106,2009,03,24.0,Y
IDCJAC0004,033106,2009,04,23.3,Y
IDCJAC0004,033106,2009,05,20.3,Y
IDCJAC0004,033106,2009,06,19.5,Y
IDCJAC0004,033106,2009,07,18.4,Y
IDCJAC0004,033106,2009,08,19.3,Y
IDCJAC0004,033106,2009,09,21.4,Y
IDCJAC0004,033106,2009,10,22.2,Y
IDCJAC0004,033106,2009,11,22.7,Y
IDCJAC0004,033106,2009,12,24.6,Y
IDCJAC0004,033106,2010,01,25.0,Y
IDCJAC0004,033106,2010,02,25.2,Y
IDCJAC0004,033106,2010,03,24.3,Y
IDCJAC0004,033106,2010,04,23.0,Y
IDCJAC0004,033106,2010,05,20.9,Y
IDCJAC0004,033106,2010,06,18.6,Y
IDCJAC0004,033106,2010,07,18.8,Y
IDCJAC0004,033106,2010,08,18.9,Y
IDCJAC0004,033106,2010,09,21.7,Y
IDCJAC0004,033106,2010,10,22.1,Y
IDCJAC0004,033106,2010,11,22.0,Y
IDCJAC0004,033106,2010,12,24.1,Y
IDCJAC0004,033106,2011,01,24.5,Y
IDCJAC0004,033106,2011,02,24.6,Y
IDCJAC0004,033106,2011,03,23.9,Y
IDCJAC0004,033106,2011,04,22.0,Y
IDCJAC0004,033106,2011,05,19.2,Y
IDCJAC0004,033106,2011,06,17.1,Y
IDCJAC0004,033106,2011,07,16.9,Y
IDCJAC0004,033106,2011,08,17.8,Y
IDCJAC0004,033106,2011,09,19.0,Y
IDCJAC0004,033106,2011,10,21.8,Y
IDCJAC0004,033106,2011,11,23.5,Y
IDCJAC0004,033106,2011,12,24.1,Y
IDCJAC0004,033106,2012,01,24.8,Y
IDCJAC0004,033106,2012,02,25.2,Y
IDCJAC0004,033106,2012,03,24.0,Y
IDCJAC0004,033106,2012,04,22.4,Y
IDCJAC0004,033106,2012,05,20.0,Y
IDCJAC0004,033106,2012,06,17.7,Y
IDCJAC0004,033106,2012,07,16.9,Y
IDCJAC0004,033106,2012,08,17.3,Y
IDCJAC0004,033106,2012,09,19.8,Y
IDCJAC0004,033106,2012,10,21.3,Y
IDCJAC0004,033106,2012,11,23.2,Y
IDCJAC0004,033106,2012,12,24.2,Y
IDCJAC0004,033106,2013,01,25.1,Y
IDCJAC0004,033106,2013,02,24.2,Y
IDCJAC0004,033106,2013,03,23.4,Y
IDCJAC0004,033106,2013,04,22.3,Y
IDCJAC0004,033106,2013,05,20.4,Y
IDCJAC0004,033106,2013,06,18.8,Y
IDCJAC0004,033106,2013,07,18.6,Y
IDCJAC0004,033106,2013,08,18.7,Y
IDCJAC0004,033106,2013,09,20.7,Y
IDCJAC0004,033106,2013,10,22.5,Y
IDCJAC0004,033106,2013,11,23.3,Y
IDCJAC0004,033106,2013,12,24.3,Y
IDCJAC0004,033106,2014,01,24.6,Y
IDCJAC0004,033106,2014,02,24.0,Y
IDCJAC0004,033106,2014,03,23.3,Y
IDCJAC0004,033106,2014,04,23.4,Y
IDCJAC0004,033106,2014,05,20.9,Y
IDCJAC0004,033106,2014,06,19.1,Y
IDCJAC0004,033106,2014,07,17.3,Y
IDCJAC0004,033106,2014,08,18.0,Y
IDCJAC0004,033106,2014,09,19.6,Y
IDCJAC0004,033106,2014,10,21.4,Y
IDCJAC0004,033106,2014,11,23.4,Y
IDCJAC0004,033106,2014,12,24.8,Y
IDCJAC0004,033106,2015,01,25.0,Y
IDCJAC0004,033106,2015,02,24.5,Y
IDCJAC0004,033106,2015,03,25.4,Y
IDCJAC0004,033106,2015,04,23.1,Y
IDCJAC0004,033106,2015,05,20.2,Y
IDCJAC0004,033106,2015,06,19.1,Y
IDCJAC0004,033106,2015,07,17.8,Y
IDCJAC0004,033106,2015,08,18.8,Y
IDCJAC0004,033106,2015,09,20.4,Y
IDCJAC0004,033106,2015,10,21.3,Y
IDCJAC0004,033106,2015,11,23.7,Y
IDCJAC0004,033106,2015,12,24.8,Y
IDCJAC0004,033106,2016,01,25.2,Y
IDCJAC0004,033106,2016,02,25.6,Y
IDCJAC0004,033106,2016,03,24.8,Y
IDCJAC0004,033106,2016,04,23.6,Y
IDCJAC0004,033106,2016,05,23.0,Y
IDCJAC0004,033106,2016,06,19.8,Y
IDCJAC0004,033106,2016,07,19.2,Y
IDCJAC0004,033106,2016,08,18.5,Y
IDCJAC0004,033106,2016,09,21.0,Y
IDCJAC0004,033106,2016,10,22.2,Y
IDCJAC0004,033106,2016,11,23.8,Y
IDCJAC0004,033106,2016,12,24.4,Y
IDCJAC0004,033106,2017,01,25.2,Y
IDCJAC0004,033106,2017,02,25.8,Y
IDCJAC0004,033106,2017,03,25.0,Y
IDCJAC0004,033106,2017,04,21.7,Y
IDCJAC0004,033106,2017,05,20.6,Y
IDCJAC0004,033106,2017,06,19.0,Y
IDCJAC0004,033106,2017,07,19.5,Y
IDCJAC0004,033106,2017,08,19.8,Y
IDCJAC0004,033106,2017,09,20.8,Y
IDCJAC0004,033106,2017,10,22.6,Y
IDCJAC0004,033106,2017,11,23.1,Y
IDCJAC0004,033106,2017,12,24.7,Y
IDCJAC0004,033106,2018,01,25.4,Y
IDCJAC0004,033106,2018,02,24.2,Y
IDCJAC0004,033106,2018,03,24.1,Y
IDCJAC0004,033106,2018,04,22.8,Y
IDCJAC0004,033106,2018,05,20.6,Y
IDCJAC0004,033106,2018,06,18.5,Y
IDCJAC0004,033106,2018,07,18.5,Y
IDCJAC0004,033106,2018,08,18.8,Y
IDCJAC0004,033106,2018,09,20.4,Y
IDCJAC0004,033106,2018,10,22.3,Y
IDCJAC0004,033106,2018,11,24.1,Y
IDCJAC0004,033106,2018,12,24.2,Y
IDCJAC0004,033106,2019,01,24.2,Y
IDCJAC0004,033106,2019,02,24.7,Y
IDCJAC0004,033106,2019,03,24.8,Y
IDCJAC0004,033106,2019,04,22.6,Y
IDCJAC0004,033106,2019,05,20.9,Y
IDCJAC0004,033106,2019,06,18.2,Y
IDCJAC0004,033106,2019,07,18.0,Y
IDCJAC0004,033106,2019,08,18.2,Y
IDCJAC0004,033106,2019,09,19.4,Y
